CEUS catalog emm_pi.c2 (March 2016)
mining-related eqks deleted
non-declustered
format: mw*(mixed moment magnitude; for rates use column 12),lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,emw,nstar,comment
4.08 -104.760  39.890   5 1971 08 08 05 22 44.  0.240 4.08 1.165 NCE|mb,4.4EPR
2.38 -104.900  39.900   0 1971 08 08 07 50  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
2.78 -104.900  39.900   0 1971 08 14 08 36  0.  0.240 2.78 1.165 SRA|ml,3.10MLGOL
2.98 -104.900  39.900   0 1971 12 09 05 20  0.  0.240 2.98 1.165 SRA|ml,3.30MLGOL
2.18 -104.900  39.900   0 1972 11 12 18 33  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.38 -104.900  39.900   0 1972 11 29 22 15  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
3.48  -98.300  29.000   0 1973 12 25 02 46  0.  0.240 3.48 1.165 NCE|mb,3.8NUT
3.15  -98.000  29.000   0 1974 04 20 23 46 10.  0.250 3.15 1.180 SRA|md,3.00MDDPC
3.46  -98.000  29.000   0 1974 06 24 18 03 10.  0.250 3.46 1.180 SRA|md,3.40MDDPC
3.15  -98.000  29.000   0 1974 08 01 13 33 10.  0.250 3.15 1.180 SRA|md,3.00MDDPC
3.08 -100.940  33.130  12 1977 06 07 23 01 25.  0.240 3.08 1.165 NCE|mg,3.4D&G
2.68 -100.950  32.890   0 1977 06 08 13 29 12.0 0.244 2.68 1.171 SSC|TMP08682
2.68 -100.880  32.960   1 1977 11 28 01 40 52.  0.240 2.68 1.165 NCE|mg,3.0D&G
2.58 -104.870  39.780  20 1978 06 10 20 57 53.5 0.240 2.58 1.165 NCE|ml,2.9NOA
4.51 -100.700  33.000   3 1978 06 16 11 46 53.  0.125 4.47 1.042 SLU|mw,4.51(mwm)
3.08 -100.900  32.970   5 1978 06 16 11 53 33.1 0.240 3.08 1.165 NCE|mg,3.4D&G
2.78 -108.900  40.180   2 1979 03 19 14 59 29.7 0.240 2.78 1.165 SRA|ml,3.10ML_GS
2.38 -100.924  32.997   1 1979 07 05 01 05 02.9 0.240 2.38 1.165 SRA|mn,2.70MnTUL
2.68  -98.190  28.830   0 1982 03 28 23 24 32.9 0.240 2.68 1.165 SRA|mn,3.00Mn_GS
2.48 -100.840  33.020   5 1982 04 26 08 31 47.7 0.240 2.48 1.165 SRA|mn,2.80Mn_GS
2.98 -100.840  33.000   5 1982 11 28 02 36 48.5 0.240 2.98 1.165 NCE|mg,3.3NOA
2.08 -100.800  33.000   0 1982 11 28 05 42  0.  0.240 2.08 1.165 SRA|md,2.40MDDAV
3.46  -98.131  28.743   5 1983 07 23 15 24 38.2 0.250 3.46 1.180 SRA|ml,3.40MLTUL
2.68  -92.704  33.183   5 1983 12 09 20 52 10.5 0.240 2.68 1.165 SRA|mn,3.00MnTUL
2.08  -92.704  33.183   5 1983 12 10 09 24 53.5 0.240 2.08 1.165 SRA|mn,2.40MnTUL
3.48  -98.461  28.852   5 1984 03 03 01 03 26.5 0.240 3.48 1.165 SRA|mn,3.80Mn_GS
3.31  -98.500  28.870   0 1984 03 03 01 58 25.  0.250 3.31 1.180 SRA|md,3.20MDDPC
3.15  -98.362  29.133   5 1984 08 08 01 31 27.3 0.250 3.15 1.180 SRA|ml,3.00ML_GS
4.63  -81.160  41.650   6 1986 01 31 16 46 43.  0.100 4.61 1.027 SLU|mw,4.63(mwm)
2.07  -81.157  41.645   6 1986 02 07 18 36 22.3 0.240 2.07 1.165 SRA|mn,2.50Mn_GS
3.61  -80.710  41.931   0 1987 07 13 05 49  0.  0.082 3.61 1.018 SSC|mw,3.61(mwa)(B3)
2.57  -80.800  41.900   5 1987 07 13 07 52 12.  0.240 2.57 1.165 PDE|mg,3.00LgGS
2.47  -80.800  41.900   5 1987 07 13 13 05 22.  0.240 2.47 1.165 PDE|mg,2.90LgGS
2.37  -80.768  41.899   0 1987 07 13 18 25 11.9 0.244 2.37 1.171 SSC|TMP15882
2.27  -80.710  41.931   5 1987 07 13 23 49 18.  0.240 2.27 1.165 GSC|mn,2.7MN
2.37  -80.800  41.900   5 1987 07 14 14 51 10.  0.240 2.37 1.165 PDE|mg,2.80LgGS
2.27  -80.800  41.900   5 1987 07 16 04 49 40.  0.240 2.27 1.165 PDE|mg,2.70LgGS
2.39  -92.890  33.100   5 1987 08 11 20 31 03.2 0.305 2.39 1.280 SSC|TMP15936
2.87  -80.710  41.931   5 1987 08 13 07 52 13.  0.240 2.87 1.165 GSC|mn,3.3MN
2.77  -92.980  33.110  17 1988 12 12 13 10 32.8 0.287 2.77 1.244 SSC|TMP16893
2.37  -81.166  41.636   5 1988 12 28 23 28 24.  0.240 2.37 1.165 GSC|mn,2.8MN
2.70  -92.778  33.201   5 1989 02 05 08 37 44.4 0.290 2.70 1.250 SSC|TMP17007
2.37  -80.758  41.898   0 1989 08 01 16 12 48.7 0.244 2.37 1.171 SSC|TMP17339
2.47  -80.752  41.893   0 1989 08 01 16 50 30.7 0.244 2.47 1.171 SSC|TMP17340
3.08  -98.042  28.908  10 1991 07 20 23 38 19.2 0.240 3.08 1.165 PDE|mg,3.40LgTUL
2.33  -80.806  41.883   2 1992 03 26 03 43 16.6 0.173 2.33 1.083 SSC|TMP19088
2.67  -80.812  41.920   5 1992 03 28 08 22 46.  0.240 2.67 1.165 GSC|mn,3.1MN
2.37  -80.787  42.010  18 1992 03 31 01 54 55.  0.240 2.37 1.165 GSC|mn,2.8MN
2.48  -98.500  29.000   5 1992 08 10 01 57 46.9 0.240 2.48 1.165 PDE|mg,2.80LgGS
3.78  -98.124  28.811   5 1993 04 09 12 29 19.1 0.240 3.78 1.165 PDE|mb,4.1neic
2.68 -109.087  40.126   5 1993 05 13 16 13 26.0 0.240 2.68 1.165 PDE|ml,3.00MLGS
2.68  -98.170  28.810   5 1993 05 16 15 30 19.3 0.240 2.68 1.165 PDE|mg,3.00LgGS
2.88  -92.671  33.013   5 1994 06 10 23 34 02.9 0.240 2.88 1.165 PDE|mg,3.20LgGS
1.97  -80.830  41.870   5 1995 02 23 09 32 13.  0.240 1.97 1.165 PDE|mg,2.40LgGS
3.88 -108.925  40.179   5 1995 03 20 12 46 16.3 0.240 3.88 1.165 PDE|mb,4.2neic
2.38 -108.919  40.175   5 1995 03 20 13 16 12.5 0.240 2.38 1.165 PDE|ml,2.70MLGS
2.18 -109.033  40.146   5 1995 03 20 14 33 59.5 0.240 2.18 1.165 PDE|ml,2.50MLGS
2.68 -108.950  40.185   5 1995 03 23 03 31 05.4 0.240 2.68 1.165 PDE|ml,3.00MLGS
2.58 -108.984  40.196   5 1995 04 01 05 22 37.8 0.240 2.58 1.165 PDE|mb,2.9neic
1.97  -80.695  41.984   5 1995 04 09 11 37 29.  0.240 1.97 1.165 GSC|mn,2.4MN
