The South American Crustal Structure Database

9.26S	4	0	2.75	0	sg	37.5	1.2	0	SAC-AN	7	E
76.02W	5	0	2.75	2.75	sg	43	MCz	264.6	94J.2	O	RO
	5.82	0	7.25	5.5	cg						
	6.4	0	18.75	12.75	cg						
	6.6	0	11.5	31.5	cg						
	7.96	0	53.5	43	mg						
	8.12	0	53.5	96.5	mg						
											
33.00S	6.2	3.44	45	0		45	0.6	0	SAC-	2	E
68.50W	8.15	4.53	0	45	m	45	MCz	999	05A.1	O	RO
											
20.45S	6	0	2	0	c	42	0.6	0	SAC-BH	4	R
42.90W	6.2	0	27	2	c	42	Ar	999	80G.2	S	HD
	7.2	0	13	29	c						
	8.2	0	0	42	m						
											
